,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
416792,572558,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2011-10-25,2.1,14286,United Kingdom
482904,577485,23196,VINTAGE LEAF MAGNETIC NOTEPAD,1,2011-11-20,1.45,16360,United Kingdom
263743,560034,23299,FOOD COVER WITH BEADS SET 2 ,6,2011-07-14,3.75,13933,United Kingdom
495549,578307,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,1,2011-11-23,2.1,17290,United Kingdom
204384,554656,21756,BATH BUILDING BLOCK WORD,3,2011-05-25,5.95,17663,United Kingdom
125615,547051,22028,PENNY FARTHING BIRTHDAY CARD,12,2011-03-20,0.42,12902,United Kingdom
483123,577493,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-11-20,0.85,17323,United Kingdom
449888,575143,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,2011-11-08,2.08,13643,United Kingdom
127438,547223,22934,BAKING MOULD EASTER EGG WHITE CHOC,2,2011-03-21,2.95,12867,United Kingdom
189515,553156,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2011-05-13,0.55,17841,United Kingdom
181007,552418,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,2011-05-09,1.25,13971,United Kingdom
439284,574444,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2,2011-11-04,2.95,18122,United Kingdom
198992,554079,23092,LARGE ANTIQUE WHITE PHOTO FRAME,1,2011-05-22,7.9,14546,United Kingdom
223228,556475,23322,LARGE WHITE HEART OF WICKER,6,2011-06-12,2.95,18109,United Kingdom
355073,567905,23336,EGG FRYING PAN PINK ,6,2011-09-22,2.08,12952,United Kingdom
348881,567474,22897,OVEN MITT APPLES DESIGN,2,2011-09-20,1.45,13448,United Kingdom
419995,572866,22384,LUNCH BAG PINK POLKADOT,1,2011-10-26,1.65,15005,United Kingdom
309002,564060,23241,TREASURE TIN GYMKHANA DESIGN,1,2011-08-22,2.08,17073,United Kingdom
270135,560547,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-07-19,1.69,17419,United Kingdom
